© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
TUG1	other	1.99E-02	BAX,BCL2,DDIT3,FUT4,HSPA5	 
PML-RARA	fusion gene/product	1.99E-02	CYTH4,PSMB10,PSMB8,PSMB9,TP53	 
bufalin	chemical reagent	1.99E-02	BCL2,BECN1,DDIT3,HSPA5,TNFRSF10B	 
cucurbitacin I	chemical reagent	2.00E-02	BCL2,BCL2L11,BECN1	 
STOX1	other	2.00E-02	CALM1 (includes others),CHST12,RAB10	 
JUP	other	2.00E-02	BCL2,DPAGT1,PML	 
miR-197-3p (and other miRNAs w/seed UCACCAC)	mature microRNA	2.00E-02	BCL2,CUL3,HSPA5	 
miR-185-5p (and other miRNAs w/seed GGAGAGA)	mature microRNA	2.00E-02	AKT1,DDIT3,RAB35	 
DDB2	transcription regulator	2.00E-02	BAX,EIF2AK2,TP53	 
cetrorelix	biologic drug	2.00E-02	BAX,BCL2,TP53	 
clasto-lactacystin beta-lactone	chemical - protease inhibitor	2.00E-02	ATF4,DDIT3,TP53	 
iodine	chemical - endogenous mammalian	2.00E-02	BAX,BCL2,TP53	 
ADAM10	peptidase	2.00E-02	ATP2A2,BAX,CRYAB,FKBP15,FKBP1A,MKKS,PDIA3,RABEP1,ROCK1,RPN1,TRAPPC3,USP14	 
alvespimycin	chemical drug	2.06E-02	BCL2,HMGCR,HSPA1A/HSPA1B,SCAP	 
PDE3A	enzyme	2.06E-02	COG2,HSPA1A/HSPA1B,HSPA5,TP53	 
H19	other	2.06E-02	AKT1,BAX,BCL2,TP53	 
NEU3	enzyme	2.06E-02	BCL2,HEXB,RAB25,ST3GAL5	 
PD184352	chemical drug	2.06E-02	BCL2,BCL2L11,HSPA5,OPTN	 
vanillin	chemical - endogenous non-mammalian	2.06E-02	HSPA1A/HSPA1B,SLC35D2,TP53,TRIM16	 
UCN-01	chemical drug	2.06E-02	BAG1,BCL2,BCL2L11,TP53	 
UCHL1	peptidase	2.10E-02	GIT2,HSPA5,PDIA2,PSMB5,PSMC2,PSME1,TP53,UBA7	 
Il3	cytokine	2.10E-02	AKT1,BAG1,BCL2,BCL2L11,SNAP23,SRP9,TCP1,TP53	 
mitomycin C	chemical drug	2.10E-02	ATF6,BAX,BCL2L11,DDIT3,HSPA5,TBC1D24,TNFRSF10B,TP53	 
doxorubicin	chemical drug	2.11E-02	A3GALT2,AKT1,ASAP3,ATG7,ATP2A2,BAK1,BAX,BCAP31,BCL2,BCL2L11,BECN1,BTK,CAPN6,CASQ1,CKAP4,DDIT3,DNAJB9,DPAGT1,EIF2AK3,ERN1,FKBP1A,GLB1,HSP90AA1,HSPH1,KIF20A,MTOR,OXA1L,P4HB,PSMB10,PSMB8,PSMB9,RAB27B,RYR2,SEC61A1,STX6,TNFRSF10B,TP53,TRIM25,UBE2N,UGCG,ULK1,XBP1	 
2-deoxyglucose	chemical drug	2.19E-02	ATF4,BCL2,BCL2L11,DDIT3,HSP90B1,HSPA5,PDIA3,TNFRSF10B,TP53,XBP1	 
RAB7A	enzyme	2.24E-02	AKT2,CHMP2B,MTOR,PML,RAB1A,RAB7A,VPS36	 
ELK1	transcription regulator	2.24E-02	CCT8,FUT4,PRKN,PSMB10,PSMB8,PSMB9,SAR1A,TNFRSF10B	 
soy isoflavones	chemical drug	2.35E-02	BAX,CUL3,PRKN,UBA1	 
MAP3K3	kinase	2.35E-02	BAX,BCL2,HAS2,PSME3	 
mir-199 (includes others)	microRNA	2.35E-02	AXL,BCL2,MTOR,TP53	 
SRD5A1	enzyme	2.35E-02	AKT1,HMGCR,IRS1,MTOR	 
ADRB1	G-protein coupled receptor	2.35E-02	BECN1,DDIT3,HSPA5,RYR2	 
alpha-tocopherol	chemical drug	2.35E-02	BAX,BCL2,HSPA1A/HSPA1B,TP53	 
IRF7	transcription regulator	2.39E-02	ATF4,DNAJA1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,TMBIM6,TP53,TPST1,TRIM21,TRIM22,TRIM5,UBA7	 
DNAJC3	other	2.42E-02	ATF4,DDIT3,DNAJC3	 
NPPC	other	2.42E-02	CHST11,CHST3,XYLT1	 
DEK	transcription regulator	2.42E-02	AKT1,AKT2,MTOR	 
lith-O-Asp	chemical reagent	2.42E-02	CCT6A,PSMB1,TRAP1	 
formoterol	chemical drug	2.42E-02	CALR,PSMA3,PSMA4	 
L-fucose	chemical - endogenous mammalian	2.44E-02	FUT2,SLC35C1	 
GP7	chemical reagent	2.44E-02	ATG5,ATG7	 
lenvatinib	chemical drug	2.44E-02	ATF4,DDIT3	 
lorglumide	chemical reagent	2.44E-02	BAX,TP53	 
vanillyl-N-nonylamide	chemical drug	2.44E-02	DDIT3,HSPA5	 
N-propargyl-1(S)-aminoindan	chemical reagent	2.44E-02	BAX,BCL2	 
SLC39A9	transporter	2.44E-02	BAX,TP53	 
MN1	other	2.44E-02	BCL2L11,TP53	 
ADGRL2	G-protein coupled receptor	2.44E-02	BCL2,TP53	 
P2RY13	G-protein coupled receptor	2.44E-02	BAX,BCL2	 
G6PC3	phosphatase	2.44E-02	ATF4,DDIT3	 
C1GALT1	enzyme	2.44E-02	BAX,BCL2	 
AKR1C3	enzyme	2.44E-02	FKBP4,SIAH2	 
lumefantrine	chemical drug	2.44E-02	BCL2,HSPB1	 
FAS-AS1	other	2.44E-02	BAX,BCL2	 
MAP4K1	kinase	2.44E-02	AXL,BCL2	 
H6PD	enzyme	2.44E-02	DDIT3,HSPA5	 
NEK10	kinase	2.44E-02	BAX,TP53	 
CCNB1	other	2.44E-02	SIAH1,TP53	 
HAS1	enzyme	2.44E-02	HAS1,HAS2	 
mir-637	microRNA	2.44E-02	AKT1,FOXO1	 
mir-149	microRNA	2.44E-02	AKT1,GIT1	 
UBE4B	enzyme	2.44E-02	PRKN,TP53	 
ASH2L	transcription regulator	2.44E-02	DDIT3,HSPA5	 
CANX	other	2.44E-02	BAX,BCL2	 
COL4A1	other	2.44E-02	BCL2,HSPA5	 
CBLC	enzyme	2.44E-02	DDIT3,ULK1	 
SAG	other	2.44E-02	NSF,VAMP2	 
CAND1	transcription regulator	2.44E-02	CUL1,SKP1	 
tofogliflozin	chemical drug	2.44E-02	DGAT1,DGAT2	 
tirbanibulin	chemical drug	2.44E-02	AKT1,MTOR	 
TUBG1	other	2.44E-02	BAX,BCL2	 
LOC105374325	other	2.44E-02	BAK1,BAX	 
fenebrutinib	chemical drug	2.44E-02	BCL2,BTK	 
MIA-459	chemical reagent	2.44E-02	BAX,BCL2	 
MIA-313	chemical reagent	2.44E-02	BAX,BCL2	 
ifosfamide	chemical drug	2.44E-02	PSMA1,PSMD4	 
alpha-ketoisocaproic acid	chemical - endogenous mammalian	2.44E-02	ITPR2,ITPR3	 
PK11007	chemical reagent	2.44E-02	DDIT3,XBP1	 
liproxstatin-1	chemical reagent	2.44E-02	BAX,DDIT3	 
penicillamine	chemical drug	2.44E-02	DDIT3,HSPA5	 
TNFSF13	cytokine	2.45E-02	BAX,BCL2,BCL2L11,TP53,XBP1	 
alvocidib	chemical drug	2.45E-02	BAG1,BCL2,DDIT3,TNFRSF10B,TP53	 
bicalutamide	chemical drug	2.51E-02	FKBP5,IGF1R,PSMD5,SEC24D,TNFRSF10B,TRPV6	 
erlotinib	chemical drug	2.51E-02	AXL,BAK1,BAX,BCL2,BCL2L11,CAMLG,DDIT3,HSPA5,PML,TNFRSF10B,XBP1	 
PAX3	transcription regulator	2.54E-02	AP3M2,CAPN1,CTSA,EIF2S1,FKBP1A,GLB1,IRS1,MAPK9,PPIB,PSME1,RAB11B,RAB31,ST8SIA2,STX3,TP53	 
GLI1	transcription regulator	2.58E-02	AKT1,ARPC5,B3GALNT1,BAK1,BAX,BCL2,BCL2L11,CHST13,CNIH4,EXT2,FOXO1,FUCA2,GALNT2,GOSR1,IGF1R,IRS1,LFNG,MAN1C1,MICAL2,PIGW,PLOD1,PPIF,PSMB9,QSOX1,RAB27B,RAB34,RAB8B,RXYLT1,SEC61A1,STX3,SYTL2,TNFRSF10B,TP53,ULK1	 
ATP2A2	transporter	2.67E-02	DDIT3,DGAT2,HSPA5,XBP1	 
WR 1065	chemical drug	2.67E-02	BAX,RAD23A,TNFRSF10B,TP53	 
rifaximin	chemical drug	2.67E-02	HSP90AA1,HYOU1,RACK1,STX6	 
digoxin	chemical drug	2.70E-02	CCNF,FKBP5,HMGCR,TNFRSF10B,TP53	 
mir-214 (includes others)	microRNA	2.70E-02	ATF4,BCL2,BECN1,IGF1R,PSMD10	 
phorbol 12,13-dibutyrate	chemical - endogenous non-mammalian	2.71E-02	BCL2,IGF1R,SEC13,SELENOS,STX11,STX12,STX3,STX6,VAMP1,VAMP3	 
ATM	kinase	2.72E-02	BAX,HSP90AA1,HSP90AB1,IGF1R,PSMC4,PSME2,TNFRSF10B,TP53	 
TPH1	enzyme	2.72E-02	ALG8,GALNT18,HSPA1A/HSPA1B,HSPA8,PIGX,PPIC,ST6GALNAC2,TRIM5	 
IL3	cytokine	2.75E-02	ARHGEF1,BCL2,BCL2L11,CALR,CCT5,COPS4,CSNK1A1,DAD1,DDIT3,EIF2AK2,FKBP3,HSP90B1,HSPA2,HSPA5,HSPA9,MAN2B1,PSMA5,PSMB3,PSMB7,PSMC4,PSME1,STT3A,XBP1	 
calphostin C	chemical drug	2.78E-02	BCL2,HSP90B1,HSPA5,IGF1R,P4HB,PDIA4,TP53	 
homocysteine	chemical - endogenous mammalian	2.86E-02	ATF4,ATF6,BAX,BCL2,DDIT3,HERPUD1,HMGCR,HSPA5,TP53,XBP1	 
CD38	enzyme	2.87E-02	B4GALT7,CHST12,CKAP4,ERO1A,EVI5,LFNG,PDIA6,PRDX4,RPN1,SDF2L1,SPCS2,TMED5,XBP1	 
lonafarnib	chemical drug	2.88E-02	BCL2,DDIT3,TNFRSF10B	 
PAK4	kinase	2.88E-02	BCL2,MTOR,TP53	 
PDGF (family)	group	2.88E-02	CALR,P4HB,PDIA3	 
LMO4	transcription regulator	2.88E-02	CUL3,MTOR,RYR2	 
MEL T1	chemical - kinase inhibitor	2.88E-02	COPS8,HSPA1A/HSPA1B,PSMA1	 
costunolide	chemical - endogenous non-mammalian	2.88E-02	BAX,BCL2,TP53	 
leflunomide	chemical drug	2.88E-02	DDIT3,HAS1,HSPA5	 
dantrolene	chemical drug	2.88E-02	BCL2,CAPN1,HSPA5	 
ORAI1	ion channel	2.91E-02	BCL2,SEC13,SELENOS,STX11,STX12,STX3,STX6,VAMP1,VAMP3	 
bromobenzene	chemical toxicant	2.98E-02	CAPN1,DDIT3,FMO1,HSP90AA1,HSPA13,HSPA5,HSPB1	 
STK4	kinase	3.01E-02	BCL2,BCL2L11,FOXO1,PRKN	 
FDX1	transporter	3.01E-02	DNAJB1,HSPA1A/HSPA1B,HSPA5,OCRL	 
tranilast	chemical drug	3.01E-02	DDIT3,FOXO1,HSPA5,TP53	 
tauroursodeoxycholic acid	chemical - endogenous mammalian	3.01E-02	BAX,BCL2,DDIT3,HSPA5	 
progestin	chemical drug	3.01E-02	BAX,BCL2,FOXO1,TBC1D14	 
SLC15A4	transporter	3.04E-02	CKAP4,EDEM1,FKBP11,KDELR3,PSMB10,SDF2L1,SEC24A,ST6GAL1,TRAM2,TXNDC5,XBP1	 
RUNX3	transcription regulator	3.04E-02	AKT1,BAX,BCL2L11,CAPN6,CHST14,CHST3,EXT1,EXTL3,ST3GAL5,TBC1D12,UGCG	 
ETS1	transcription regulator	3.06E-02	ARPC2,ATP2A3,B4GALT5,BAX,HS2ST1,HSPA1A/HSPA1B,HSPA1L,HSPA6,HSPA8,HSPB8,MGAT5,PLAA,PML,SEC23IP,SYVN1,TP53,WAS	 
POU4F2	transcription regulator	3.08E-02	ATP2A1,BCL2,CASQ1,DNAJA1,HSPA8,HSPH1,RYR1,RYR2	 
cigarette smoke	chemical toxicant	3.16E-02	ATF4,ATF6,BCL2,DDIT3,DNAJB5,EIF2AK3,ERN1,HAS3,HSPA5,HSPA9,MTOR,PRDX4,PSMD1,PTPN1,TP53,USP19,XBP1	 
MIR122A/B (family)	group	3.19E-02	BCL2,GALNT10,HMGCR,IGF1R,ROCK2,TP53	 
glutathione	chemical - endogenous mammalian	3.19E-02	BAX,BCL2,BCL2L11,DDIT3,HSPA5,MAPK8,TNFRSF10B	 
dimethyl itaconate	chemical reagent	3.26E-02	ATF4,EIF2AK3,ERN1,HSPA1L,XBP1	 
anandamide	chemical - endogenous mammalian	3.26E-02	FKBP1A,HSPA5,PLIN2,PPIL3,TP53	 
MAPK1	kinase	3.31E-02	ATP2A1,B3GALT4,BCL2,CAPN2,CCNF,CHST2,CHST7,CSGALNACT2,EIF2AK2,ERP29,EVI5,EXOC2,FAM20A,FOXO1,ITPR2,PML,PSMB8,PSMB9,PSME2,TNFRSF10B,TP53,TRIM21,TRIM22,TRIM25,TRIM5	 
alloxan	chemical reagent	3.33E-02	OGT,PSME3	 
flavokawain B	chemical - endogenous non-mammalian	3.33E-02	BCL2L11,TNFRSF10B	 
CA77	chemical reagent	3.33E-02	CTSA,HSPA8	 
RIOX1	enzyme	3.33E-02	AKT1,IGF1R	 
LRIG2	other	3.33E-02	BAX,BCL2	 
TMTC3	enzyme	3.33E-02	ATF4,EIF2AK3	 
UCP3	transporter	3.33E-02	CANX,HSPA5	 
beta-caryophyllene	chemical - endogenous non-mammalian	3.33E-02	BAX,BCL2	 
nomilin	chemical - endogenous non-mammalian	3.33E-02	BAX,TP53	 
SNRPB	other	3.33E-02	AKT3,TP53	 
EIF5A	translation regulator	3.33E-02	BAX,TP53	 
CRYGC	other	3.33E-02	CRYAA/LOC102724652,HSPA5	 
HIPK3	kinase	3.33E-02	BAX,BCL2	 
BRCA2	transcription regulator	3.33E-02	BAX,TP53	 
casticin	chemical - endogenous non-mammalian	3.33E-02	BCL2,TNFRSF10B	 
GSK 650394	chemical reagent	3.33E-02	DDIT3,HSPA5	 
RAPGEF4	other	3.33E-02	CALR,TP53	 
TSN	other	3.33E-02	ABL1,BCL2	 
CTH	enzyme	3.33E-02	DDIT3,HSPA5	 
15-E2-isoketal modified phosphatidylethanolamine	chemical reagent	3.33E-02	DDIT3,HSPA5	 
nicorandil	chemical drug	3.33E-02	BAX,BCL2	 
2-mercaptoethanol	chemical - endogenous mammalian	3.33E-02	HERPUD1,HSPA5	 
GLP-1 (7-36) amide	biologic drug	3.33E-02	ITPR2,ITPR3	 
PG3-Oc	chemical reagent	3.38E-02	ATF4,HSPA4L,ROCK1,TNFRSF10B	 
DHX36	enzyme	3.38E-02	BAG3,CASQ2,PRKN,RYR2	 
NMU	other	3.38E-02	ATF4,ATF6,DDIT3,XBP1	 
MEL S3	chemical - kinase inhibitor	3.38E-02	COPS8,ERP29,HSPA1A/HSPA1B,PSMA1	 
pterostilbene	chemical drug	3.38E-02	BCL2,DDIT3,ERN1,HSPA5	 
HRAS	enzyme	3.39E-02	AKT1,ARF1,ARF6,ASAP1,ATP2A2,B3GNT5,B4GALT3,BAK1,BAX,BCL2,BCL2L11,CAPN2,CHST11,CHST12,COPB2,DDIT3,ERP29,FKBP6,FOXO1,FURIN,FUT7,HAS2,HSP90AA1,HSPA8,HSPB1,IGF1R,MAN1A1,NSFL1C,P4HB,PDIA5,PLOD1,PLOD2,PML,PPIC,PSMB9,SEM1,SERP1,SSR3,TNFRSF10B,TP53,TRPV1	 
(+)-catechin	chemical drug	3.39E-02	BAX,HSPA5,TP53	 
NRG4	growth factor	3.39E-02	BAX,BCL2,BECN1	 
LINC-ROR	other	3.39E-02	BCL2,BECN1,TP53	 
HDAC8	transcription regulator	3.39E-02	BAX,STX1A,TP53	 
oligomycin	chemical - endogenous non-mammalian	3.39E-02	ATF4,BCL2,DDIT3	 
ethyl pyruvate	chemical drug	3.39E-02	BAX,BCL2,BECN1	 
hydrogen sulfide	chemical - endogenous mammalian	3.39E-02	BCL2,DDIT3,HSPA5	 
STEAP3	transporter	3.44E-02	ERO1A,GCNT2,HSPA8,PLOD2,TP53,TRPV4	 
CLU	other	3.44E-02	AKT1,BAX,BCL2,HSPA1A/HSPA1B,HSPA5,TP53	 
CRP	other	3.44E-02	PSMA7,PSMB7,PSMB9,PSMC6,PSME2,UBE2D3	 
WT1	transcription regulator	3.45E-02	BAK1,BCL2,BTK,EXT2,HSP90B1,IGF1R,LMAN1,MAPK8,MBTPS1,OS9,PDIA4,PPIB,RAB40C,ROCK1,SEC13,ST6GAL1,TRAP1,TRIM21	 
SBDS	other	3.46E-02	DDIT3,DERL3,DNAJB1,HSP90AB1,HSPA5,HSPA6,PSMD7,SORCS1	 
pidnarulex	chemical drug	3.46E-02	ACTR3,BAX,FKBP9,RYR2,TRAPPC6B,TRIM22,VAMP3,WFS1	 
T-5224	chemical reagent	3.49E-02	APPL2,ATF4,CMAS,FKBP5,HAS2,PPP1R15B,RAB11FIP3,TMX4,TNFRSF10B,TRIM22	 
HOXD10	transcription regulator	3.63E-02	CAPN6,ERP44,GCNT1,PAK1,RAB40B,ST8SIA2,USP14	 
mir-133 (includes others)	microRNA	3.63E-02	ARFIP2,ARHGDIA,ARPC5,IGF1R,ITPR2,TNFRSF10B,UBXN7	 
PIM1	kinase	3.67E-02	ABL2,AKT1,ATP2A2,BCL2,GLB1,IGF1R,TP53,VCP	 
dehydroisoandrosterone	chemical - endogenous mammalian	3.67E-02	AKT1,ARAF,BCL2,FKBP5,HSP90AB1,IRS1,RACK1,TP53	 
cyclosporin A	biologic drug	3.71E-02	A3GALT2,ARHGEF1,BAX,BCL2,BCL2L11,CAPN6,EIF2AK3,FKBP5,FOXO1,HERPUD1,HMGCR,HS2ST1,HSP90AA1,HSPA5,ITPR1,ITPR2,PPIA,PPIL2,PSMB10,PSMB8,PSMC1,RAB11B,RNF103,SERPINH1,SIAH2,SRP14,SSR4,TP53	 
POLG	enzyme	3.77E-02	ATG7,BECN1,RACK1,USE1	 
bilirubin	chemical - endogenous mammalian	3.77E-02	ATF4,DDIT3,HSPA5,XBP1	 
GHRL	growth factor	3.80E-02	BAX,BCL2,DDIT3,DGAT1,DNAJC3,EIF2A,FOXO1,SDF2L1,SSR2	 
TNFSF10	cytokine	3.82E-02	AKT1,BAK1,BAX,BCL2,EIF2AK2,IGF1R,PSME2,SERPINH1,TNFRSF10B,TNK2,TP53	 
sorafenib	chemical drug	3.87E-02	ATF4,ATG5,BECN1,DDIT3,ERN1,HSPA5,IGF1R	 
BAG1	other	3.88E-02	BCL2,BCL2L11,FKBP5,NEDD4L,RAB27A	 
STAT4	transcription regulator	3.91E-02	ACAP1,ARFGAP3,ATF4,BCL2,BCL2L11,CAPN5,COPG1,DNAJB6,DPM3,ERO1A,FURIN,GCNT2,HEXB,KDELR2,PLOD2,VAMP4	 
(6)-gingerol	chemical - endogenous non-mammalian	3.94E-02	BAX,BCL2,TP53	 
CYB561A3	enzyme	3.94E-02	AP1B1,HSPA1A/HSPA1B,HSPA6	 
salvianolic acid B	chemical - endogenous non-mammalian	3.94E-02	ATF4,HSP90B1,HSPA5	 
LOXL1	enzyme	3.94E-02	AGR2,DNAJB11,DNAJC3	 
ATXN2	other	3.94E-02	DDIT3,HSPA5,MTOR	 
LOXL2	enzyme	3.94E-02	AGR2,DNAJB11,DNAJC3	 
miR-135a-5p (and other miRNAs w/seed AUGGCUU)	mature microRNA	3.94E-02	BAG3,ERP29,MTOR	 
SRSF3	other	3.94E-02	BCL2,SIAH1,TP53	 
INSIG2	other	3.94E-02	ATF4,DDIT3,HMGCR	 
BHLHA15	transcription regulator	3.94E-02	ITPR3,RAB26,RAB3D	 
leupeptin	chemical - protease inhibitor	3.94E-02	AXL,FOXO1,IGF1R	 
FAS	transmembrane receptor	3.99E-02	AKT2,ARAP2,ARFGAP1,ARHGDIA,ARHGEF1,BAX,BCL2,BTK,CLTB,CYTH2,FOXO1,GIT2,GPLD1,ITPR1,OPTN,PIK3CA,PLIN2,PSD4,PTPN1,RALBP1,SIAH2,TBC1D1,TNK2,UGCG	 
TFRC	transporter	3.99E-02	ATF4,ATF6,BCL2L11,DDIT3,ERO1A,FAM20C,HERPUD1,HSPA5,TP53,UBE2E1,XBP1	 
ERK1/2 (family)	group	4.06E-02	ATF6,BAX,BCL2,BCL2L11,CALR,CAPN2,DDIT3,EIF2AK3,FKBP5,FOXO1,HAS2,HSPA5,IGF1R,PSMB10,PSMB6,PSMB8,PSMB9,RAB4B,SYVN1,TAPBP,TNFRSF10B	 
IRF4	transcription regulator	4.09E-02	AP3M2,ATF4,CANX,CLTA,DDIT3,GALNT2,HSPA8,MAPK9,PDCD6,PPIB,PSMA1,PSMA2,RAB7A,TRIM21,XBP1	 
IFRD1	other	4.19E-02	DGAT1,DGAT2,PPIA,SEM1	 
proteasome inhibitor PSI	chemical - protease inhibitor	4.19E-02	DDIT3,HSPA5,TNFRSF10B,TP53	 
arsenic	chemical toxicant	4.19E-02	BAX,DDIT3,ERN1,HSP90AA1	 
COLLAGEN(S) (complex)	complex	4.22E-02	ATF4,DDIT3,EDEM1,HERPUD1,SERPINH1	 
MIAT	other	4.22E-02	BAX,BCL2,EXT1,RAB38,RYR1	 
SST	other	4.22E-02	CRYAA/LOC102724652,ERP29,IGF1R,ITPR2,ITPR3	 
baicalein	chemical drug	4.22E-02	AKT1,BAX,BCL2,DDIT3,IGF1R	 
ALB	transporter	4.27E-02	CASP12,DDIT3,ERN1,HSPA5,MTOR,XBP1	 
ETV3	transcription regulator	4.27E-02	EIF2AK2,LGALS9,PSMB9,TRIM21,TRIM22,TRIM25	 
trilinolein	chemical - endogenous mammalian	4.28E-02	BAX	 
5,8,11-eicosatriynoic acid	chemical reagent	4.28E-02	DDIT3	 
aucubin	chemical - endogenous non-mammalian	4.28E-02	BAX	 
ergosterol	chemical - endogenous mammalian	4.28E-02	BCL2L11	 
UFD2 (family)	group	4.28E-02	VCP	 
ErSO	chemical reagent	4.28E-02	XBP1	 
PU-WS13	chemical reagent	4.28E-02	PKD2	 
miR-373 inhibitor	chemical reagent	4.28E-02	PIK3CA	 
APIO-EE-07	chemical drug	4.28E-02	BAX	 
REEP3	other	4.28E-02	FKBP10	 
RA414	chemical reagent	4.28E-02	DDIT3	 
RA413S	chemical reagent	4.28E-02	DDIT3	 
pivalyloxymethyl butyrate	chemical drug	4.28E-02	ATP2A3	 
lapaquistat	chemical drug	4.28E-02	HSPA5	 
beta,beta-dimethylacrylalkannin	chemical - endogenous non-mammalian	4.28E-02	NEDD4L	 
glutaminase inhibitor 968	chemical reagent	4.28E-02	ATF4	 
AMG44	chemical drug	4.28E-02	ATF4	 
tris(2,3-dibromopropyl)phosphate	chemical toxicant	4.28E-02	TP53	 
dichlorvos	chemical toxicant	4.28E-02	PPIA	 
EIF2B (complex)	complex	4.28E-02	ATF4	 
CREB1 homodimer	complex	4.28E-02	BCL2	 
SREBP1A,2:NF-Y:HMGCR gene	complex	4.28E-02	HMGCR	 
MTF1 dimer:12Zn2+:HMGCR gene	complex	4.28E-02	HMGCR	 
VENTX:TP53 Gene	complex	4.28E-02	TP53	 
RUNX3:SMAD3:SMAD3:SMAD4:FOXO3:BCL2L11 gene	complex	4.28E-02	BCL2L11	 
RUNX2:CBFB:BAX gene	complex	4.28E-02	BAX	 
MECP2:FKBP5 gene	complex	4.28E-02	FKBP5	 
MECP2:PTPN1 gene	complex	4.28E-02	PTPN1	 
HMGCR gene:EGR2:SREBF2 dimer	complex	4.28E-02	HMGCR	 
FOXO1,FOXO3,(FOXO4):NF-Y:CREBBP,EP300:BCL2L11 gene	complex	4.28E-02	BCL2L11	 
ATF4 dimer:ATF2 dimer:DDIT3 gene	complex	4.28E-02	DDIT3	 
ATF4:DDIT3 gene	complex	4.28E-02	DDIT3	 
(NPAS4:ARNTL,NPAS4:ARNT,NPAS4:ARNT2):IQSEC3 gene	complex	4.28E-02	IQSEC3	 
SMAD2,3:SMAD4	group	4.28E-02	FURIN	 
ASPP (family)	group	4.28E-02	BAX	 
BLC2 gene:HIST1H2AC nuclesome:ESR1:ESTG:EP300	complex	4.28E-02	BCL2	 
sodium thiosulfate	chemical drug	4.28E-02	BCL2	 
indoleacetic acid derivative	chemical reagent	4.28E-02	ARF4	 
MPHOSPH8	transcription regulator	4.28E-02	PRKN	 
KANSL1	other	4.28E-02	STX17	 
OXSM	kinase	4.28E-02	PRKN	 
SRP54	enzyme	4.28E-02	XBP1	 
MLC1	transporter	4.28E-02	AXL	 
USP49	peptidase	4.28E-02	FKBP4	 
PLXNA2	transmembrane receptor	4.28E-02	GLB1	 
HNRNP H (complex)	complex	4.28E-02	ARAF	 
AEOL 10113	chemical drug	4.28E-02	BAX	 
THG1L	enzyme	4.28E-02	TP53	 
DELE1	other	4.28E-02	DDIT3	 
LMTK3	kinase	4.28E-02	HSPB8	 
APOL6	transporter	4.28E-02	BECN1	 
DDX53	other	4.28E-02	TP53	 
RHBDL3	peptidase	4.28E-02	DDIT3	 
RGN	enzyme	4.28E-02	BCL2	 
RIOK1	kinase	4.28E-02	TP53	 
TTC8	other	4.28E-02	STX3	 
KLHL13	enzyme	4.28E-02	IRS1	 
INTS12	other	4.28E-02	PRKN	 
CCDC71L	other	4.28E-02	PRKN	 
LMF1	other	4.28E-02	CANX	 
N-arachidonylglycine	chemical - endogenous mammalian	4.28E-02	AXL	 
WRAP53	other	4.28E-02	TP53	 
EEF1E1	translation regulator	4.28E-02	TP53	 
PIGG	enzyme	4.28E-02	PIGO	 
B3GALT1	enzyme	4.28E-02	B3GALT5	 
IPCEF1	enzyme	4.28E-02	ARF6	 
DDIAS	other	4.28E-02	TP53	 
RBM27	other	4.28E-02	DDIT3	 
TRIM39	other	4.28E-02	TP53	 
CLEC16A	other	4.28E-02	PRKN	 
MAGT1	enzyme	4.28E-02	TUSC3	 
REV3L	enzyme	4.28E-02	TP53	 
MAN2C1	enzyme	4.28E-02	DDIT3	 
CCDC85A	other	4.28E-02	ATF4	 
SLC25A27	transporter	4.28E-02	DDIT3	 
ZNF667	transcription regulator	4.28E-02	BAX	 
KLHL9	enzyme	4.28E-02	IRS1	 
HNRNPH3	other	4.28E-02	HSPA1A/HSPA1B	 
METAP2	peptidase	4.28E-02	BCL2	 
NDUFA11	enzyme	4.28E-02	ATF4	 
iohexol	chemical drug	4.28E-02	BECN1	 
Magea3 (includes others)	other	4.28E-02	TP53	 
AZD5438	chemical drug	4.28E-02	DDIT3	 
BFAR	enzyme	4.28E-02	TMBIM6	 
COG7	transporter	4.28E-02	BET1L	 
5-fluorouracil/irinotecan/leucovorin	chemical drug	4.28E-02	XBP1	 
NDUFV1	enzyme	4.28E-02	PTPN1	 
GSK1059615	chemical drug	4.28E-02	DDIT3	 
SYTL4	transporter	4.28E-02	STX1A	 
RAD23A	other	4.28E-02	TP53	 
SYT9	transporter	4.28E-02	STXBP5	 
NAPA	transporter	4.28E-02	BCL2	 
RPL23	other	4.28E-02	TP53	 
SYP	transporter	4.28E-02	VAMP2	 
RPL24	other	4.28E-02	TP53	 
VTI1B	transporter	4.28E-02	STX8	 
MRGBP	other	4.28E-02	PRKN	 
LINC00920	other	4.28E-02	AXL	 
SINHCAF	other	4.28E-02	PRKN	 
CCZ1/CCZ1B	other	4.28E-02	PRKN	 
mir-877	microRNA	4.28E-02	RAB3D	 
miR-653-5p (miRNAs w/seed UGUUGAA)	mature microRNA	4.28E-02	ARHGAP5	 
miR-605-5p (miRNAs w/seed AAAUCCC)	mature microRNA	4.28E-02	SEC24D	 
mir-493	microRNA	4.28E-02	IGF1R	 
miR-1204 (miRNAs w/seed CGUGGCC)	mature microRNA	4.28E-02	TP53	 
miR-1972 (miRNAs w/seed CAGGCCA)	mature microRNA	4.28E-02	TP53	 
